movieId,title
1,Toy Story (1995)
2,Jumanji (1995)
3,Grumpier Old Men (1995)
4,Waiting to Exhale (1995)
5,Father of the Bride Part II (1995)
6,Heat (1995)
7,Sabrina (1995)
8,Tom and Huck (1995)
9,Sudden Death (1995)
10,GoldenEye (1995)
11,"American President, The (1995)"
12,Dracula: Dead and Loving It (1995)
13,Balto (1995)
14,Nixon (1995)
15,Cutthroat Island (1995)
16,Casino (1995)
17,Sense and Sensibility (1995)
18,Four Rooms (1995)
19,Ace Ventura: When Nature Calls (1995)
20,Money Train (1995)
21,Get Shorty (1995)
22,Copycat (1995)
23,Assassins (1995)
24,Powder (1995)
25,Leaving Las Vegas (1995)
26,Othello (1995)
27,Now and Then (1995)
28,Persuasion (1995)
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,Dangerous Minds (1995)
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
33,Babe (1995)
34,Dead Man Walking (1995)
35,It Takes Two (1995)
36,Clueless (1995)
37,"Cry, the Beloved Country (1995)"
38,Richard III (1995)
39,Dead Presidents (1995)
40,Restoration (1995)
41,Mortal Kombat (1995)
42,To Die For (1995)
43,How to Make an American Quilt (1995)
44,Seven (a.k.a. Se7en) (1995)
45,Pocahontas (1995)
46,When Night Is Falling (1995)
47,"Usual Suspects, The (1995)"
48,Mighty Aphrodite (1995)
49,Lamerica (1994)
50,"Big Green, The (1995)"
51,Georgia (1995)
52,Home for the Holidays (1995)
53,"Postman, The (Postino, Il) (1994)"
54,"Indian in the Cupboard, The (1995)"
55,Eye for an Eye (1996)
56,Mr. Holland's Opus (1995)
57,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
58,Two if by Sea (1996)
59,Bio-Dome (1996)
60,Lawnmower Man 2: Beyond Cyberspace (1996)
61,French Twist (Gazon maudit) (1995)
62,Friday (1995)
63,From Dusk Till Dawn (1996)
64,Fair Game (1995)
65,Kicking and Screaming (1995)
66,"Misérables, Les (1995)"
67,Bed of Roses (1996)
68,Big Bully (1996)
69,Screamers (1995)
70,Nico Icon (1995)
71,"Crossing Guard, The (1995)"
72,"Juror, The (1996)"
73,"White Balloon, The (Badkonake sefid) (1995)"
74,Things to Do in Denver When You're Dead (1995)
75,Antonia's Line (Antonia) (1995)
76,Once Upon a Time... When We Were Colored (1995)
77,Angels and Insects (1995)
78,White Squall (1996)
79,Dunston Checks In (1996)
80,Black Sheep (1996)
81,Nick of Time (1995)
82,Mary Reilly (1996)
83,Vampire in Brooklyn (1995)
84,Beautiful Girls (1996)
85,Broken Arrow (1996)
86,In the Bleak Midwinter (1995)
87,"Hate (Haine, La) (1995)"
88,Heidi Fleiss: Hollywood Madam (1995)
89,City Hall (1996)
90,Bottle Rocket (1996)
91,Mr. Wrong (1996)
92,Unforgettable (1996)
93,Happy Gilmore (1996)
94,"Bridges of Madison County, The (1995)"
95,Nobody Loves Me (Keiner liebt mich) (1994)
96,Muppet Treasure Island (1996)
97,Catwalk (1996)
98,Braveheart (1995)
99,Taxi Driver (1976)
100,Rumble in the Bronx (Hont faan kui) (1995)
101,Before and After (1996)
102,Anne Frank Remembered (1995)
103,"Young Poisoner's Handbook, The (1995)"
104,If Lucy Fell (1996)
105,"Steal Big, Steal Little (1995)"
106,"Boys of St. Vincent, The (1992)"
107,Boomerang (1992)
108,Chungking Express (Chung Hing sam lam) (1994)
109,Flirting With Disaster (1996)
110,"NeverEnding Story III, The (1994)"
111,Jupiter's Wife (1994)
112,Pie in the Sky (1996)
113,Jade (1995)
114,Down Periscope (1996)
115,Man of the Year (1995)
116,Up Close and Personal (1996)
117,"Birdcage, The (1996)"
118,"Brothers McMullen, The (1995)"
119,Bad Boys (1995)
120,"Amazing Panda Adventure, The (1995)"
121,"Basketball Diaries, The (1995)"
122,"Awfully Big Adventure, An (1995)"
123,Amateur (1994)
124,Apollo 13 (1995)
125,Rob Roy (1995)
126,"Addiction, The (1995)"
127,Batman Forever (1995)
128,Beauty of the Day (Belle de jour) (1967)
129,Beyond Rangoon (1995)
130,Blue in the Face (1995)
131,Canadian Bacon (1995)
132,Casper (1995)
133,Clockers (1995)
134,Congo (1995)
135,Crimson Tide (1995)
136,Crumb (1994)
137,Desperado (1995)
138,Devil in a Blue Dress (1995)
139,Die Hard: With a Vengeance (1995)
140,"Doom Generation, The (1995)"
141,First Knight (1995)
142,Free Willy 2: The Adventure Home (1995)
143,Hackers (1995)
144,Jeffrey (1995)
145,Johnny Mnemonic (1995)
146,Judge Dredd (1995)
147,Jury Duty (1995)
148,Kids (1995)
149,Living in Oblivion (1995)
150,Lord of Illusions (1995)
151,Love & Human Remains (1993)
152,Mad Love (1995)
153,Mallrats (1995)
154,Mighty Morphin Power Rangers: The Movie (1995)
155,Mute Witness (1994)
156,Nadja (1994)
